,1,3,5,2,4,6
530,,0.0003249645233154297,0.0004639625549316406,0.0002818107604980469,0.00039505958557128906,0.0005168914794921875
540,,0.00033211708068847656,0.0004680156707763672,0.00029397010803222656,0.0004000663757324219,0.0005240440368652344
550,,0.0003383159637451172,0.000476837158203125,0.0002949237823486328,0.00040912628173828125,0.0005409717559814453
560,,0.0003459453582763672,0.0004971027374267578,0.0002980232238769531,0.0004191398620605469,0.0005509853363037109
570,,0.0003521442413330078,0.0004968643188476562,0.00030493736267089844,0.00043010711669921875,0.0005567073822021484
580,,0.00035691261291503906,0.0005059242248535156,0.000308990478515625,0.00043487548828125,0.0005719661712646484
590,,0.0003657341003417969,0.000518798828125,0.0003178119659423828,0.000453948974609375,0.0005927085876464844
600,,0.0003731250762939453,0.0005259513854980469,0.0003199577331542969,0.00045013427734375,0.0005922317504882812
610,,0.00037598609924316406,0.0005328655242919922,0.0003261566162109375,0.00045680999755859375,0.0005991458892822266
620,,0.00038504600524902344,0.0005438327789306641,0.0003311634063720703,0.0004773139953613281,0.0006101131439208984
630,,0.0003879070281982422,0.0005559921264648438,0.0003349781036376953,0.0004761219024658203,0.000621795654296875
640,,0.0003998279571533203,0.0005619525909423828,0.00034117698669433594,0.0004811286926269531,0.0006310939788818359
650,,0.0004029273986816406,0.0005741119384765625,0.00034999847412109375,0.0004909038543701172,0.0006618499755859375
660,,0.00040912628173828125,0.0005838871002197266,0.0003483295440673828,0.0004971027374267578,0.0006520748138427734
670,,0.0004439353942871094,0.000591278076171875,0.0003590583801269531,0.0005052089691162109,0.000659942626953125
680,,0.0004239082336425781,0.0005981922149658203,0.00036406517028808594,0.0005140304565429688,0.0006940364837646484
690,,0.00042891502380371094,0.0006089210510253906,0.0003669261932373047,0.0005178451538085938,0.0006861686706542969
700,,0.00043702125549316406,0.000614166259765625,0.00037789344787597656,0.0005278587341308594,0.0006959438323974609
710,,0.00044798851013183594,0.0006248950958251953,0.0003771781921386719,0.0005331039428710938,0.0007109642028808594
720,,0.0004470348358154297,0.0006499290466308594,0.00039005279541015625,0.00055694580078125,0.0007150173187255859
730,,0.00045228004455566406,0.0006551742553710938,0.0003910064697265625,0.0005688667297363281,0.0007441043853759766
740,,0.0004830360412597656,0.0006556510925292969,0.00044226646423339844,0.0005619525909423828,0.0007312297821044922
750,,0.00045800209045410156,0.0006511211395263672,0.00041675567626953125,0.0005548000335693359,0.0007691383361816406
760,,0.00048089027404785156,0.0006678104400634766,0.00040912628173828125,0.0005681514739990234,0.0007610321044921875
770,,0.00048279762268066406,0.0006811618804931641,0.00043010711669921875,0.0006089210510253906,0.0007882118225097656
780,,0.0005071163177490234,0.0007140636444091797,0.00043392181396484375,0.0006098747253417969,0.0008001327514648438
790,,0.0005228519439697266,0.0007221698760986328,0.0004661083221435547,0.0006299018859863281,0.0008170604705810547
800,,0.0005171298980712891,0.0007271766662597656,0.0004417896270751953,0.0006222724914550781,0.0008249282836914062
810,,0.0005283355712890625,0.0007250308990478516,0.00048613548278808594,0.0006310939788818359,0.0008161067962646484
820,,0.0005161762237548828,0.0007278919219970703,0.0004429817199707031,0.0006232261657714844,0.0008220672607421875
830,,0.0005257129669189453,0.00074005126953125,0.00044417381286621094,0.0006668567657470703,0.0008370876312255859
840,,0.0005300045013427734,0.0007469654083251953,0.0004591941833496094,0.0006499290466308594,0.0008490085601806641
850,,0.0005419254302978516,0.0007731914520263672,0.0004589557647705078,0.0006680488586425781,0.0008802413940429688
860,,0.0005519390106201172,0.0007801055908203125,0.000476837158203125,0.0006709098815917969,0.0008819103240966797
870,,0.0005621910095214844,0.0007870197296142578,0.0004858970642089844,0.0006802082061767578,0.0008912086486816406
880,,0.0005700588226318359,0.0007989406585693359,0.0004839897155761719,0.0006852149963378906,0.0009050369262695312
890,,0.0005698204040527344,0.0008111000061035156,0.0004851818084716797,0.0006978511810302734,0.0009210109710693359
900,,0.0005769729614257812,0.0008141994476318359,0.0004947185516357422,0.0007028579711914062,0.0009341239929199219
910,,0.0005819797515869141,0.0008308887481689453,0.0004999637603759766,0.0007050037384033203,0.0009338855743408203
920,,0.0005900859832763672,0.000843048095703125,0.0005030632019042969,0.0007178783416748047,0.0009551048278808594
930,,0.0006062984466552734,0.0008490085601806641,0.0005109310150146484,0.0007219314575195312,0.0009579658508300781
940,,0.0006060600280761719,0.0008540153503417969,0.0005166530609130859,0.0007321834564208984,0.0009710788726806641
950,,0.0006208419799804688,0.0008761882781982422,0.0005211830139160156,0.00074005126953125,0.0009851455688476562
960,,0.0006172657012939453,0.0008709430694580078,0.0005278587341308594,0.0007491111755371094,0.0009951591491699219
970,,0.0006308555603027344,0.0008890628814697266,0.0005357265472412109,0.0008170604705810547,0.001008749008178711
980,,0.0006341934204101562,0.0008966922760009766,0.0005419254302978516,0.0007686614990234375,0.0010180473327636719
990,,0.000640869140625,0.0009021759033203125,0.0005450248718261719,0.0007770061492919922,0.0010247230529785156
1000,,0.0006458759307861328,0.0009119510650634766,0.0005528926849365234,0.000782012939453125,0.0010328292846679688
1010,,0.0006539821624755859,0.00092315673828125,0.0005500316619873047,0.0007836818695068359,0.0010411739349365234
1020,,0.0006639957427978516,0.0009343624114990234,0.0005588531494140625,0.0007917881011962891,0.006484031677246094
1030,,0.0006620883941650391,0.000965118408203125,0.0005786418914794922,0.0007929801940917969,0.0010790824890136719
1040,,0.0006761550903320312,0.0009598731994628906,0.0006017684936523438,0.0008151531219482422,0.0010859966278076172
1050,,0.0006799697875976562,0.0009610652923583984,0.0005939006805419922,0.0008192062377929688,0.001093149185180664
1060,,0.0006923675537109375,0.0009682178497314453,0.0005896091461181641,0.0008299350738525391,0.0011110305786132812
1070,,0.0006921291351318359,0.0009860992431640625,0.0005960464477539062,0.0008409023284912109,0.0011219978332519531
1080,,0.0006971359252929688,0.0009860992431640625,0.0005970001220703125,0.0008461475372314453,0.0011262893676757812
1090,,0.0007081031799316406,0.0009980201721191406,0.00060272216796875,0.0008499622344970703,0.0011360645294189453
1100,,0.0007097721099853516,0.0010128021240234375,0.0006170272827148438,0.0008597373962402344,0.0011529922485351562
1110,,0.0007169246673583984,0.0010149478912353516,0.0006158351898193359,0.0008678436279296875,0.0011599063873291016
1120,,0.0007262229919433594,0.001024007797241211,0.0006232261657714844,0.0008790493011474609,0.0011739730834960938
1130,,0.0007343292236328125,0.0010347366333007812,0.0006239414215087891,0.0008821487426757812,0.0011830329895019531
